Username,Name,Biography,Followers,Following
pvlladxr3s.raw,𝔭𝔵𝔲𝔭𝔵𝔲,"@mindlessselfindulgence @ayeshaonline69 𝔰𝔱𝔞𝔯𝔰 𝔠𝔬𝔩𝔩𝔦𝔡𝔢⋆.˚ ⋆17⋆ 𝕯 ""ive got the key and he's just a doormat!""",476,543
amd,AMD,together we advance_  #AdvancingAI,2055898,185
nintendoamerica,Nintendo of America,Welcome to the official Nintendo of America Instagram channel! For ESRB ratings go to http://esrb.org.,7918298,11
leomessi,Leo Messi,Bienvenidos a la cuenta oficial de Instagram de Leo Messi / Welcome to the official Leo Messi Instagram account,512622481,359
minecraft,Minecraft,"Survive the night, or build a work of art.​ Welcome to Minecraft.​ ESRB RATING: EVERYONE 10+ with Fantasy Violence",13841352,9
jonfavreau,Jon Favreau,actor/writer/director,2428305,72
colegiosangabrielquito,Colegio San Gabriel Quito,"Unidad Educativa de la #CompañíadeJesús.  “Formando líderes con fe, innovación y excelencia desde 1862”  #SerMásParaServirMejor #AmarYServir",6558,103
playstation,PlayStation,PlayStation's official Instagram!  Get the latest PlayStation news ⬇️,32559094,98
redbull,Red Bull,watch the World Of Red Bull👇 #givesyouwiiings,32652986,2129
tomholland2013,Tom Holland,@berobrewing founder,64070345,336
fcbarcelona,FC Barcelona,SHAPING THE FUTURE!💙❤️,147715877,107
lakers,Los Angeles Lakers,Welcome to the #LakeShow 🏆 17x Champions Want more? @lakersscene @loslakers @lakersbrasil @lakersarabic,25224530,88
marvelstudios,Marvel Studios,#DaredevilBornAgain Season 2 is now streaming on Disney+  Stream all episodes of #WonderMan on Disney+,37446262,144
galletttt,,"feto profesional CODIGO GALLET (cuenta oficial, vinculado en youtube)",114491,0
rafaellota_,Rafaella,@rafalelaaa_,411,30
karlitayanoexiste,Carrot 🥕,Líder de secta Shy desde el 2002 me gusta el té,1198,746
kydyuzhini,Yuzhi KYD Ni,🗣️Honest tests on viral ads (KYD’s Trash or GOLD)  🕵️Old suspense mix (GOLD+TRASH) on @kydyuzhini_realbackup  👇Find GOLD products in my videos👇,12429598,23
erszabeth666,𝓐𝓽𝓻𝓾𝓶 𝓬𝓪𝓮𝓵𝓾𝓶,3.14,672,69
nvidia,NVIDIA,NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. Our work is transforming the world's industries.,2579193,34
juegaplusx,Juega Plus | Juegos de Steam 🇪🇨,🙋‍♂️Atención personalizada 👑 Tus juegos favoritos directo a tu cuenta de Steam 🏷️ Precios asequibles y ofertas especiales 📥 Escríbenos al DM,4,0
